point_win_prob,default_match_win_prob,best_of_5_match_win_prob,no_ad_match_win_prob,match_tiebreak_match_win_prob,fast_four_match_win_prob,num_matches
0.40,0.0041,0.0005,0.0091,0.0131,0.0171,100000
0.41,0.0081,0.0015,0.0172,0.0228,0.0274,100000
0.42,0.0167,0.0037,0.0293,0.0375,0.0443,100000
0.43,0.0308,0.0092,0.0490,0.0585,0.0676,100000
0.44,0.0541,0.0225,0.0782,0.0912,0.1001,100000
0.45,0.0898,0.0465,0.1188,0.1313,0.1428,100000
0.46,0.1396,0.0885,0.1719,0.1848,0.1968,100000
0.47,0.2109,0.1562,0.2389,0.2504,0.2631,100000
0.48,0.2936,0.2515,0.3167,0.3266,0.3337,100000
0.49,0.3947,0.3683,0.4053,0.4111,0.4156,100000
0.50,0.4993,0.4996,0.5000,0.4998,0.5011,100000
0.51,0.6056,0.6325,0.5946,0.5885,0.5832,100000
0.52,0.7062,0.7514,0.6822,0.6741,0.6655,100000
0.53,0.7913,0.8451,0.7626,0.7499,0.7394,100000
0.54,0.8590,0.9091,0.8299,0.8164,0.8015,100000
0.55,0.9094,0.9537,0.8828,0.8686,0.8575,100000
0.56,0.9453,0.9776,0.9221,0.9102,0.8994,100000
0.57,0.9691,0.9901,0.9508,0.9407,0.9329,100000
0.58,0.9842,0.9962,0.9705,0.9622,0.9555,100000
0.59,0.9910,0.9986,0.9830,0.9779,0.9716,100000
0.60,0.9964,0.9996,0.9904,0.9862,0.9836,100000
